350 
0 1 2
0 2 3
0 3 3
0 4 1
0 5 1
0 6 2
0 7 2
0 8 3
0 9 2
0 10 2
0 11 2
0 12 1
0 13 1
0 14 1
0 15 2
0 16 2
0 17 3
0 18 2
0 19 1
0 20 1
0 21 3
0 22 1
0 23 1
0 24 2
0 25 3
0 26 3
0 27 2
0 28 1
0 29 3
0 30 2
0 31 2
0 32 3
0 33 3
0 34 1
0 35 2
0 36 2
0 37 1
0 38 1
0 39 3
0 40 2
0 41 2
0 42 3
0 43 3
0 44 2
0 45 3
0 46 2
0 47 1
0 48 2
0 49 3
0 50 3
0 51 3
0 52 1
0 53 3
0 54 3
0 55 1
0 56 2
0 57 2
0 58 3
0 59 2
0 60 2
0 61 2
0 62 2
0 63 2
0 64 2
0 65 3
0 66 3
0 67 2
0 68 2
0 69 1
0 70 1
0 71 3
0 72 2
0 73 2
0 74 2
0 75 2
0 76 2
0 77 2
0 78 2
0 79 1
0 80 2
0 81 2
0 82 2
0 83 3
0 84 1
0 85 2
0 86 2
0 87 1
0 88 2
0 89 2
0 90 2
0 91 1
0 92 1
0 93 1
0 94 1
0 95 3
0 96 1
0 97 1
0 98 2
0 99 3
0 100 1
0 101 1
0 102 2
0 103 3
0 104 3
0 105 3
0 106 2
0 107 2
0 108 2
0 109 3
0 110 2
0 111 1
0 112 3
0 113 1
0 114 2
0 115 2
0 116 2
0 117 3
0 118 1
0 119 1
0 120 1
0 121 3
0 122 1
0 123 3
0 124 1
0 125 1
0 126 3
0 127 2
0 128 1
0 129 1
0 130 1
0 131 2
0 132 2
0 133 2
0 134 1
0 135 3
0 136 3
0 137 2
0 138 1
0 139 3
0 140 3
0 141 2
0 142 1
0 143 1
0 144 3
0 145 1
0 146 1
0 147 1
0 148 2
0 149 3
0 150 1
0 151 3
0 152 1
0 153 3
0 154 1
0 155 3
0 156 3
0 157 3
0 158 1
0 159 2
0 160 2
0 161 3
0 162 3
0 163 1
0 164 2
0 165 1
0 166 2
0 167 2
0 168 1
0 169 1
0 170 1
0 171 2
0 172 1
0 173 2
0 174 2
0 175 2
0 176 1
0 177 3
0 178 2
0 179 3
0 180 3
0 181 1
0 182 3
0 183 2
0 184 3
0 185 2
0 186 1
0 187 2
0 188 3
0 189 3
0 190 1
0 191 3
0 192 3
0 193 2
0 194 3
0 195 3
0 196 3
0 197 2
0 198 1
0 199 2
0 200 1
0 201 1
0 202 3
0 203 1
0 204 2
0 205 2
0 206 1
0 207 2
0 208 2
0 209 2
0 210 2
0 211 2
0 212 2
0 213 1
0 214 1
0 215 2
0 216 2
0 217 1
0 218 1
0 219 3
0 220 2
0 221 2
0 222 3
0 223 1
0 224 1
0 225 2
0 226 1
0 227 2
0 228 1
0 229 3
0 230 3
0 231 1
0 232 3
0 233 3
0 234 2
0 235 2
0 236 1
0 237 3
0 238 2
0 239 2
0 240 2
0 241 1
0 242 2
0 243 1
0 244 2
0 245 2
0 246 2
0 247 3
0 248 3
0 249 1
0 250 3
0 251 2
0 252 1
0 253 2
0 254 1
0 255 1
0 256 2
0 257 2
0 258 2
0 259 2
0 260 2
0 261 1
0 262 3
0 263 1
0 264 1
0 265 2
0 266 2
0 267 1
0 268 3
0 269 2
0 270 3
0 271 1
0 272 1
0 273 2
0 274 2
0 275 3
0 276 1
0 277 3
0 278 3
0 279 1
0 280 1
0 281 3
0 282 2
0 283 2
0 284 1
0 285 1
0 286 3
0 287 2
0 288 1
0 289 3
0 290 2
0 291 3
0 292 2
0 293 2
0 294 2
0 295 3
0 296 2
0 297 2
0 298 1
0 299 3
0 300 3
0 301 2
0 302 3
0 303 1
0 304 1
0 305 3
0 306 1
0 307 3
0 308 3
0 309 1
0 310 1
0 311 2
0 312 2
0 313 3
0 314 1
0 315 1
0 316 1
0 317 2
0 318 3
0 319 2
0 320 2
0 321 1
0 322 2
0 323 3
0 324 2
0 325 1
0 326 2
0 327 2
0 328 3
0 329 2
0 330 1
0 331 2
0 332 1
0 333 3
0 334 2
0 335 2
0 336 3
0 337 1
0 338 1
0 339 2
0 340 2
0 341 3
0 342 3
0 343 2
0 344 3
0 345 2
0 346 2
0 347 2
0 348 3
0 349 1
1 2 3
1 3 2
1 4 2
1 5 2
1 6 3
1 7 2
1 8 2
1 9 1
1 10 1
1 11 1
1 12 2
1 13 1
1 14 2
1 15 2
1 16 3
1 17 2
1 18 1
1 19 2
1 20 2
1 21 3
1 22 1
1 23 2
1 24 1
1 25 2
1 26 2
1 27 3
1 28 2
1 29 3
1 30 3
1 31 1
1 32 2
1 33 3
1 34 2
1 35 2
1 36 2
1 37 2
1 38 2
1 39 3
1 40 2
1 41 2
1 42 3
1 43 2
1 44 1
1 45 2
1 46 2
1 47 1
1 48 2
1 49 3
1 50 3
1 51 3
1 52 2
1 53 3
1 54 3
1 55 3
1 56 1
1 57 3
1 58 3
1 59 1
1 60 2
1 61 2
1 62 3
1 63 2
1 64 3
1 65 2
1 66 3
1 67 3
1 68 2
1 69 3
1 70 1
1 71 3
1 72 2
1 73 1
1 74 2
1 75 2
1 76 2
1 77 3
1 78 2
1 79 3
1 80 1
1 81 1
1 82 2
1 83 2
1 84 1
1 85 2
1 86 2
1 87 1
1 88 1
1 89 2
1 90 3
1 91 3
1 92 3
1 93 2
1 94 2
1 95 4
1 96 1
1 97 2
1 98 1
1 99 3
1 100 2
1 101 2
1 102 3
1 103 3
1 104 3
1 105 3
1 106 1
1 107 2
1 108 2
1 109 3
1 110 3
1 111 2
1 112 3
1 113 2
1 114 1
1 115 3
1 116 1
1 117 3
1 118 1
1 119 1
1 120 2
1 121 3
1 122 2
1 123 3
1 124 2
1 125 1
1 126 4
1 127 1
1 128 1
1 129 1
